t,y
1.00100000e+00,2.00066667e+00
1.00200000e+00,2.00133352e+00
1.00300000e+00,2.00200056e+00
1.00400000e+00,2.00266778e+00
1.00500000e+00,2.00333518e+00
1.00600000e+00,2.00400277e+00
1.00700000e+00,2.00467055e+00
1.00800000e+00,2.00533851e+00
1.00900000e+00,2.00600665e+00
1.01000000e+00,2.00667498e+00
1.01100000e+00,2.00734350e+00
1.01200000e+00,2.00801219e+00
1.01300000e+00,2.00868107e+00
1.01400000e+00,2.00935014e+00
1.01500000e+00,2.01001938e+00
1.01600000e+00,2.01068881e+00
1.01700000e+00,2.01135843e+00
1.01800000e+00,2.01202823e+00
1.01900000e+00,2.01269821e+00
1.02000000e+00,2.01336837e+00
1.02100000e+00,2.01403872e+00
1.02200000e+00,2.01470925e+00
1.02300000e+00,2.01537996e+00
1.02400000e+00,2.01605085e+00
1.02500000e+00,2.01672193e+00
1.02600000e+00,2.01739319e+00
1.02700000e+00,2.01806463e+00
1.02800000e+00,2.01873625e+00
1.02900000e+00,2.01940805e+00
1.03000000e+00,2.02008004e+00
1.03100000e+00,2.02075221e+00
1.03200000e+00,2.02142456e+00
1.03300000e+00,2.02209709e+00
1.03400000e+00,2.02276980e+00
1.03500000e+00,2.02344269e+00
1.03600000e+00,2.02411576e+00
1.03700000e+00,2.02478902e+00
1.03800000e+00,2.02546245e+00
1.03900000e+00,2.02613607e+00
1.04000000e+00,2.02680987e+00
1.04100000e+00,2.02748384e+00
1.04200000e+00,2.02815800e+00
1.04300000e+00,2.02883234e+00
1.04400000e+00,2.02950686e+00
1.04500000e+00,2.03018155e+00
1.04600000e+00,2.03085643e+00
1.04700000e+00,2.03153149e+00
1.04800000e+00,2.03220672e+00
1.04900000e+00,2.03288214e+00
1.05000000e+00,2.03355773e+00
1.05100000e+00,2.03423351e+00
1.05200000e+00,2.03490946e+00
1.05300000e+00,2.03558559e+00
1.05400000e+00,2.03626190e+00
1.05500000e+00,2.03693839e+00
1.05600000e+00,2.03761506e+00
1.05700000e+00,2.03829191e+00
1.05800000e+00,2.03896893e+00
1.05900000e+00,2.03964614e+00
1.06000000e+00,2.04032352e+00
1.06100000e+00,2.04100108e+00
1.06200000e+00,2.04167882e+00
1.06300000e+00,2.04235673e+00
1.06400000e+00,2.04303482e+00
1.06500000e+00,2.04371309e+00
1.06600000e+00,2.04439154e+00
1.06700000e+00,2.04507017e+00
1.06800000e+00,2.04574897e+00
1.06900000e+00,2.04642795e+00
1.07000000e+00,2.04710710e+00
1.07100000e+00,2.04778644e+00
1.07200000e+00,2.04846595e+00
1.07300000e+00,2.04914563e+00
1.07400000e+00,2.04982549e+00
1.07500000e+00,2.05050553e+00
1.07600000e+00,2.05118575e+00
1.07700000e+00,2.05186614e+00
1.07800000e+00,2.05254671e+00
1.07900000e+00,2.05322745e+00
1.08000000e+00,2.05390837e+00
1.08100000e+00,2.05458946e+00
1.08200000e+00,2.05527073e+00
1.08300000e+00,2.05595218e+00
1.08400000e+00,2.05663380e+00
1.08500000e+00,2.05731560e+00
1.08600000e+00,2.05799757e+00
1.08700000e+00,2.05867971e+00
1.08800000e+00,2.05936203e+00
1.08900000e+00,2.06004453e+00
1.09000000e+00,2.06072720e+00
1.09100000e+00,2.06141004e+00
1.09200000e+00,2.06209306e+00
1.09300000e+00,2.06277625e+00
1.09400000e+00,2.06345962e+00
1.09500000e+00,2.06414316e+00
1.09600000e+00,2.06482688e+00
1.09700000e+00,2.06551076e+00
1.09800000e+00,2.06619483e+00
1.09900000e+00,2.06687906e+00
1.10000000e+00,2.06756347e+00
1.10100000e+00,2.06824805e+00
1.10200000e+00,2.06893281e+00
1.10300000e+00,2.06961774e+00
1.10400000e+00,2.07030284e+00
1.10500000e+00,2.07098811e+00
1.10600000e+00,2.07167356e+00
1.10700000e+00,2.07235918e+00
1.10800000e+00,2.07304497e+00
1.10900000e+00,2.07373094e+00
1.11000000e+00,2.07441707e+00
1.11100000e+00,2.07510338e+00
1.11200000e+00,2.07578986e+00
1.11300000e+00,2.07647652e+00
1.11400000e+00,2.07716334e+00
1.11500000e+00,2.07785034e+00
1.11600000e+00,2.07853751e+00
1.11700000e+00,2.07922485e+00
1.11800000e+00,2.07991236e+00
1.11900000e+00,2.08060004e+00
1.12000000e+00,2.08128789e+00
